Effective area (cm^2) for 13 shell HERO module vs. E (keV) and off-axis angle (arcmin=am) 
    E      0 am    1 am    2 am    3 am    4 am    5 am    6 am    7 am    8 am    9 am   10 am   11 am   12 am 
  76.75    0.77    0.58    0.50    0.40    0.30    0.22    0.16    0.12    0.09    0.07    0.05    0.04    0.03 
  77.00    0.76    0.58    0.50    0.40    0.30    0.22    0.16    0.12    0.09    0.07    0.05    0.04    0.03 
  77.25    0.75    0.58    0.50    0.40    0.30    0.22    0.16    0.12    0.09    0.07    0.05    0.04    0.03 
  77.50    0.74    0.57    0.49    0.40    0.30    0.22    0.16    0.12    0.09    0.07    0.05    0.04    0.03 
  77.75    0.72    0.56    0.49    0.39    0.29    0.22    0.16    0.12    0.09    0.07    0.05    0.04    0.03 
  78.00    0.71    0.56    0.48    0.39    0.29    0.22    0.16    0.12    0.09    0.07    0.05    0.03    0.03 
  78.25    0.69    0.55    0.48    0.38    0.29    0.21    0.16    0.12    0.09    0.06    0.05    0.03    0.02 
  78.50    0.67    0.54    0.47    0.38    0.29    0.21    0.16    0.11    0.09    0.06    0.05    0.03    0.02 
  78.75    0.65    0.53    0.46    0.38    0.28    0.21    0.15    0.11    0.08    0.06    0.05    0.03    0.02 
  79.00    0.64    0.53    0.46    0.37    0.28    0.21    0.15    0.11    0.08    0.06    0.04    0.03    0.02 
  79.25    0.62    0.52    0.45    0.37    0.28    0.21    0.15    0.11    0.08    0.06    0.04    0.03    0.02 
  79.50    0.60    0.51    0.45    0.36    0.27    0.20    0.15    0.11    0.08    0.06    0.04    0.03    0.02 
  79.75    0.59    0.50    0.44    0.36    0.27    0.20    0.15    0.11    0.08    0.06    0.04    0.03    0.02 
  80.00    0.57    0.49    0.43    0.35    0.27    0.20    0.14    0.11    0.08    0.06    0.04    0.03    0.02 
